business_status,formatted_address,location_lat,location_lng,viewport_northeast_lat,viewport_northeast_lng,viewport_southwest_lat,viewport_southwest_lng,icon,icon_background_color,icon_mask_base_uri,name,open_now,photo_height,photo_html_attributions,photo_reference,photo_width,place_id,compound_code,global_code,rating,reference,types,user_ratings_total
OPERATIONAL,"C/ de Montcada, 15-23, Ciutat Vella, 08003 Barcelona, Spain",41.3852706,2.1809472,41.38656042989272,2.182215279892722,41.38386077010728,2.179515620107277,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Picasso Museum,False,3024,"<a href=""https://maps.google.com/maps/contrib/101152600094149442411"">A Google User</a>",ATplDJYBrD1nfKoLI9-en2cWB4FtgKjU0FpWIlwBRwfSSuQ0afK0PMDgENLKD1ZePFNvZecZT0kqaI7D_Lvfm_pOZnw7PEKUmXDu91BRzwjPay3R4tKL1JvpcQavhWBiJBgsrEnGUO68tGRxqClA1_83_6j0q7602SaOLzDBs_14kSvyg_Q1,4032,ChIJa-K8mf6ipBIRY8wAB3EeASc,95PJ+49 Barcelona,8FH495PJ+49,4.4,ChIJa-K8mf6ipBIRY8wAB3EeASc,"tourist_attraction,museum,point_of_interest,establishment",29481
OPERATIONAL,"Parc de Montjuïc, s/n, Sants-Montjuïc, 08038 Barcelona, Spain",41.3686304,2.1598509,41.36974722989272,2.161291429892722,41.36704757010728,2.158591770107277,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Joan Miró Foundation,False,1341,"<a href=""https://maps.google.com/maps/contrib/115276691251450743867"">Fundació Joan Miró</a>",ATplDJYJMdh-wavPSOoOroDcmedQ5Oo2xJhO_lvSWa1yNbvmtitQMIhPDStOVTA95icCOuY7lVJ8u-vLuWwq3QjyYJubYuW5eRWKfOtBSZAgDBS8ZgoOqlT-oaP2DLyHcaxLHpAn5s5bWeTmNwBJh1V_tVFYwJlJAx2rtRHUaRcDHz10MkBu,2039,ChIJLcelLmmipBIRqmlJrcEfypY,9595+FW Barcelona,8FH49595+FW,4.5,ChIJLcelLmmipBIRqmlJrcEfypY,"tourist_attraction,museum,point_of_interest,establishment",11628
OPERATIONAL,"Palau Nacional, Parc de Montjuïc, s/n, Sants-Montjuïc, 08038 Barcelona, Spain",41.3684399,2.15357,41.37009297989272,2.1559042,41.36739332010728,2.1508006,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museu Nacional d'Art de Catalunya,False,3024,"<a href=""https://maps.google.com/maps/contrib/101937644746642721956"">Klári</a>",ATplDJYGBIJVdTwIf2Bx1Cxmbv6jQN5B8Oj2ArpJjB8kFv10BwokUKCHJmRdXRabzJrF4nC0vVHImaeBMA3tfJoQWWAGPq6rxaWVUIMCZhW7HEL3TdNR-n-0H9uhFx9UgFj3I6BUWFlUEkZi3LD6bI3ZLXyd7CD0Br_YpECex4oEXiCGzHe7,4032,ChIJMU59xHGipBIRkdwlcgUWAYY,9593+9C Barcelona,8FH49593+9C,4.7,ChIJMU59xHGipBIRkdwlcgUWAYY,"tourist_attraction,museum,point_of_interest,establishment",30049
OPERATIONAL,"Pl. del Rei, s/n, Ciutat Vella, 08002 Barcelona, Spain",41.383923,2.1776677,41.38546987989272,2.179167929892722,41.38277022010728,2.176468270107277,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Barcelona History Museum MUHBA,False,3000,"<a href=""https://maps.google.com/maps/contrib/110193227159598364193"">Santiago Nahuel Cordoba</a>",ATplDJbnAqjkyapXfqY7ZXeOKy4Av2xo9W3lzTMApXC1wfb7vOA8FAuDAhHtehW0nbjR9TwvaF6QrJFecwv3bWA-L8ByN5Wk-eiCNCIcj8SMrSpfHOh4iOGPl4brbvghZg265bwcOhVG_RvoIeMOWvCTZMsy9N8YLvjHjw8CPoRP68c2Skm8,4000,ChIJc0WMe_GipBIRJiU_pUq_bRc,95MH+H3 Barcelona,8FH495MH+H3,4.6,ChIJc0WMe_GipBIRJiU_pUq_bRc,"tourist_attraction,museum,point_of_interest,establishment",4384
OPERATIONAL,"Av. de les Drassanes, 1, Ciutat Vella, 08001 Barcelona, Spain",41.3758504,2.1761781,41.3768902,2.1789156,41.37388779999999,2.172826,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Barcelona Maritime Museum,False,3472,"<a href=""https://maps.google.com/maps/contrib/104604712834463779272"">Eva v</a>",ATplDJbZsT07MRO06bUnouActrd4er_2ntThQT6oTS-k2m6UXTW9cHpfc0SYS1ufqwt7RA7zHI2HM-2jM4nl9uwrv69gDjz2-iXCzT8sqSYLm7MyKkgVfyzFcdNijFvjSBJFgGLEgqfweL90C1f_pHuXbK8JnQ23nb_hnEherpGRUwlawEwz,3472,ChIJOyoByVCipBIR-mZapSxPHY8,95GG+8F Barcelona,8FH495GG+8F,4.4,ChIJOyoByVCipBIR-mZapSxPHY8,"tourist_attraction,museum,point_of_interest,establishment",12053
OPERATIONAL,"Plaça dels Àngels, 1, Ciutat Vella, 08001 Barcelona, Spain",41.3831913,2.1668668,41.38434977989272,2.168501579892722,41.38165012010727,2.165801920107278,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Barcelona Museum of Contemporary Art,False,4000,"<a href=""https://maps.google.com/maps/contrib/104604968150740135668"">A Google User</a>",ATplDJbf8S3wwNUoZoWd644XJxi1Panh4mpIZsd9nMF5GVoXvWVuWaqtMagrkDE4mpFJTo_VT74SYVL4QQc7BKpW7vfa8Gl5oDXd-Ry2IGkRidxA4TZoZz1To8gFLv3t6kfYwTiFEcd0bizGWmYKzhcII4nEqBCIffahsyxXtHh-xUKrmlYQ,6000,ChIJ0V6MrPWipBIRKnssXv0o_Y4,95M8+7P Barcelona,8FH495M8+7P,4.3,ChIJ0V6MrPWipBIRKnssXv0o_Y4,"tourist_attraction,museum,point_of_interest,establishment",13241
OPERATIONAL,"Av. de Francesc Ferrer i Guàrdia, 6-8, Sants-Montjuïc, 08038 Barcelona, Spain",41.371308,2.149575,41.37279672989273,2.15126175,41.37009707010728,2.147704350000001,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,CaixaForum Barcelona,False,2562,"<a href=""https://maps.google.com/maps/contrib/114059150706836453222"">CaixaForum Barcelona</a>",ATplDJbMW1eYEk2q2LF845aYsC-zlYXAMWRDxY2G9MS8hxaoJN0qObu3zjbzF9-zH9CNk37cyKnWRbo372vFTcr7uOSkiItjbAFzflXXDiUsvWtNIv8SyDy6ImskZGznqAOoE18sTJO82K6NN5prc3DIe5rC1J9r4Rzce04xpBkmOhU58zRz,4000,ChIJJVQ6VneipBIRIV6uqvMfBI0,94CX+GR Barcelona,8FH494CX+GR,4.5,ChIJJVQ6VneipBIRIV6uqvMfBI0,"tourist_attraction,museum,point_of_interest,establishment",16575
OPERATIONAL,"C/ d'Aragó, 255, L'Eixample, 08007 Barcelona, Spain",41.3915317,2.1638,41.39285007989272,2.165196979892723,41.39015042010728,2.162497320107278,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Fundació Antoni Tàpies,False,2136,"<a href=""https://maps.google.com/maps/contrib/103480454456129816727"">A Google User</a>",ATplDJZ91DADaxEd1b5xtg3isrBH0AlmSDwvggjW6BctFxYqbR18eCDYqnRVX-Fl7KjmU4UewLw2naOyiU7T6D8szzAUvr-7huzQbLAmywNOIjOA3G_no4N2X26LuB_f8XL1hkkEW4Otm7fo6FoYkdywT3rUdTFWC0d01VN_QweK_5ZoSB8x,2720,ChIJ5XvzpJKipBIRrTCSZXbotTo,95R7+JG Barcelona,8FH495R7+JG,3.9,ChIJ5XvzpJKipBIRrTCSZXbotTo,"tourist_attraction,museum,point_of_interest,establishment",1161
OPERATIONAL,"Pça. de Pau Vila, 3, Ciutat Vella, 08039 Barcelona, Spain",41.380804,2.185873,41.38233367989272,2.187464829892722,41.37963402010728,2.184765170107278,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum of the History of Catalonia,False,3024,"<a href=""https://maps.google.com/maps/contrib/108256198420855567010"">виктория дубовая</a>",ATplDJZpc7oFIJdoEbGQ7rslmE0Laxf0uKJfpf3TWnQx-c72uj5Mnhp3Phhnk3Z9jwPYrgzDkfqHZLPes8aI-pWLEgqhKZ27nAwR0N1cdxIqSlh-gu2URTRgEkdgNNc5Y_m6feNa3_W0Jj_dDD5Fvw2QjRbxSb1WJVUzUqvqZj34rqaob8k3,4032,ChIJBTfBbwCjpBIRK-jjm940utc,95JP+88 Barcelona,8FH495JP+88,4.5,ChIJBTfBbwCjpBIRK-jjm940utc,"tourist_attraction,museum,point_of_interest,establishment",4922
OPERATIONAL,"Av. de Francesc Ferrer i Guàrdia, 13, Sants-Montjuïc, 08038 Barcelona, Spain",41.3688085,2.1482732,41.37044387989272,2.149201349999999,41.36774422010727,2.14548875,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Poble Espanyol,False,3024,"<a href=""https://maps.google.com/maps/contrib/108742144005747834089"">Bram van Opstal</a>",ATplDJYItunNoBvb6Ttr11OvtYzMz5qIjN7ScSzDKb43NYUXcg74bbSwr6S5Y3HJ4u2GsAMwyYeH5boVMyE_F4lIPXFLHW0ke87UODZNxcef7qKptGLI1ImRzJzITuUHz6UpAvgU4sEhrcatr__I3E1gXP-PJPvo9KvBAN9mSX5hggd4lSr3,3024,ChIJJ2JbaneipBIRpVQ6RTJSwLA,949X+G8 Barcelona,8FH4949X+G8,4.2,ChIJJ2JbaneipBIRpVQ6RTJSwLA,"museum,tourist_attraction,point_of_interest,establishment",33270
