time,text,rating,place_name,place_category
2011-12-30,"You need to pay for the internet (2 euro / half-hour or 6 euros per day), breakfast is pretty dull, but location is really close to the metro station (L3 line - Mundet). Staff was friendly and helpful !",4,ALIMARA,accommodation
2012-09-26,For &quot;free&quot; WIFI in the lobby you have to register with your passport ID! Otherwise a clean and nice hotel.,4,ALIMARA,accommodation
2013-11-11,"A wonderful place for students, professionals, researchers and all people. Is quiet, beautiful and nice. Conffortable rooms, good and varity food. You can visit diferents incredibles places. Is located in the montain so the weather is cooler. You take the L3 of the subway and stop at the Mundet station and them cruise the Can de Marcet Avenue. I really like this place.",5,Agora BCN,accommodation
2013-02-28,"Very simply furnished room (no TV, fridge or anything), however nice and clean- who does need more? Excellent breakfast (earlier you get to the restaurant the more variety of food you have to chose from) Only issue is that the complex is located outside city center (20-25 min by metro) and can be little tricky to find at the first time. PRICE/VALUE RATIO is unbeatable. All we needed was a nice, clean, safe place with breakfast. We have been spending whole day in the city so distance was not a problem either.",4,Agora BCN,accommodation
2013-07-26,Nice place for young people,4,Agora BCN,accommodation
2011-11-19,It was far from the center on Barcelona ... but with nice service and great price :D,4,Inout Hostel,accommodation
2011-06-27,"This was easily one of the best hostels I have been to in Europe. At first, the metro can be a little overwhelming, but easily understandable with the correct directions. The hostel is a little hike from the metro too. The accommodations were great and the staff were very friendly and helpful.",5,Inout Hostel,accommodation
2011-06-16,"Okay, it&#39;s not cheap but if you want to see Barcelona, there is nowhere better.",5,Gran Hotel La Florida,accommodation
2012-08-09,"A bit far from city centre but on an elevated position that guarantee cooler temperature and an nice view. Swimming pool is much smaller than expected, deep only 1m; also the room is not very big but the balcony (as big as the bedroom) with two deckchairs makes up for that. Brekfast a bit expensive but worth it, cheeper if booked for every day. Nice experience but often too noisy because of other turists",4,Catalonia Park Güell,accommodation
2013-09-20,"I had a lovely visit at Amiga Barcelona. Margarita, Carlos and all of the staff were beyond expectations - warm, caring and attentive. The breakfast was superb!!! And my room was plain, but elegant. This B&amp;B is full of old world charm. I can not say enough good things about being there. I stayed at 5 different places during my trip to Spain and France. This one was by far the best.",5,Bed and Breakfast Amiga Barcelona,accommodation
2011-06-20,"LOVED IT!! LOVED IT!! LOVED IT!! Felt like at home. Margarita welcomed us with a cold beer, then sat down with us to talk about places to go see and restaurants to go eat. The room was really clean and the bed was very comfortable. It&#39;s conveniently located (about 5 min walk from the metro station station and 10 min walk to Parc Guell) and in about 15-20 minutes we were in the Barri Gotic in the heart of Barcelona. Free Wi-Fi, an amazing breakfast (included) and the reasonable price made it even better!",5,Bed and Breakfast Amiga Barcelona,accommodation
2012-03-07,"Margarita&#39;s place is the most lovely hotel I ever stayed at in Barcelona, it was such a pleasure to visit! I have never had such wundervoll, rich and great breakfast and enjoyed the calm and piece and warmth of the art deco house and the streets on the old hill. The place is close to the metro and has the great advantage to be calm and with a very good, personal atmosphere. The price is extremely generous for the location and the experience of this beautiful house.",5,Bed and Breakfast Amiga Barcelona,accommodation
2008-03-03,"What a fantastic find! Great value and wonderfully situated for the city centre and the main attractions. The owner, Margarita, makes you feel right at home immediately and the breakfast spread in the beautiful dining room is unmissable! The rooms and bathrooms were very clean and, compared to some other places I have stayed in Barcelona, the price was great value. I would definitely recommend this place to friends and, in fact, am heading back there shortly myself!",5,Bed and Breakfast Amiga Barcelona,accommodation
2010-02-20,"I spent 1 week in BCN for business and in Amiga I found a warm place with all facilities to do my job afther meetings,with internet conection and a quite place to work in the evening. Amiga is not in the center but the undergraund is just few minutes walking and you can reach the city centre in no more that 15 minutes. The owner is charm, warm and polite,the rooms are clean, breakfast is complete.The enviroment is like to be at home and the rate is very competitive. Conclusion 10 points over 10.",5,Bed and Breakfast Amiga Barcelona,accommodation
2013-02-23,"Great hostel to stay in, even for families. The hostel is very clean and the staff very warming and friendly. When I arrived, one of the staff checked me in, gave me a map and pointed all the places I should go visit the next day, which I did. The breakfast was basic, bread with jam/butter, coffee/tea/hot chocolate, orange juice. They do have a fridge to store your own food and a microwave. The location is in a neighborhood away from downtown Barcelona, but there is a bus stop and subway station nearby, within a few minutes walk. Worth the stay.",5,Albergue Studio Hostel,accommodation
